,uuid,center_x,center_y,center_z,direction_x,direction_y,direction_z,end_closed,end_reachable,facet_count,length,radius
38,183777e3-3bc1-4881-ac3e-94c4ff36af39,3.009265453e-24,-29.875,-3.009265511e-24,0.0,-1.0,0.0,True,True,188,8.75,10.0
39,61839fa2-443f-4224-bc2c-0e6e21b520c7,1.079e-07,2e-10,330.1999969482,0.0,0.0,1.0,True,True,138,25.3999938965,18.4150001
39,61839fa2-443f-4224-bc2c-0e6e21b520c7,1.079e-07,1e-10,31.75,0.0,0.0,-1.0,True,True,138,63.5,18.4150001
40,c3130c49-aa22-40c5-9f50-a1978c402389,-5.236583415e-18,-2.25,-9.049447653e-17,2.327372173e-18,1.0,4.021976558e-17,True,True,224,4.5,16.25
41,2844cb86-fc05-43cd-bbb8-0df6b9364b7d,15.0250000954,-4.814824856e-25,-4.814824856e-25,1.0,0.0,0.0,True,True,216,1.5500001907,8.0
41,2844cb86-fc05-43cd-bbb8-0df6b9364b7d,41.0499992371,-4.814824856e-25,-4.814824856e-25,-1.0,0.0,0.0,True,True,216,1.5999984741,8.0
42,4006286d-611c-4d2c-bd42-3a3682621747,23.2999992371,-1.443723729e-17,12.0,-1.0,6.196236852e-19,8.927728417e-20,True,False,208,2.5,7.0
43,f97a7d46-e027-422b-a6dd-20aca43e1c0a,37.483965163,-48.0166780357,14.875,0.0,0.0,1.0,True,True,164,0.25,1.3275162494
44,337f3c1e-6e9e-4edc-a935-4e70713ab25d,4.269795202,31.1068695604,29.4499998093,0.0,0.0,1.0,True,False,166,0.1000003815,0.2295616099
45,d4814942-84c7-4945-8479-d9fdc56ef573,0.0,0.0,25.0,0.0,0.0,-1.0,True,True,220,50.0,4.0
46,815799fd-bc48-4190-b421-50825616afe9,-7.2424812317,0.0,0.0,1.0,0.0,0.0,True,True,240,4.5,4.25
47,2c5ef897-b765-4cd1-a38d-5bab54846e3a,1.27e-08,-38.0,-1.27e-08,-3.895371719e-19,1.0,-6.04711369e-18,True,True,0,6.0,18.8000002318
47,2c5ef897-b765-4cd1-a38d-5bab54846e3a,2.077e-07,-54.5,4e-10,0.0,-1.0,0.0,True,True,0,19.0,7.4999998428
48,0faab169-a19f-46bc-aa97-e61f830352e1,0.0,46.5,0.0,0.0,-1.0,0.0,True,True,192,93.0,4.0
48,0faab169-a19f-46bc-aa97-e61f830352e1,7.372700685e-25,95.5,-7.372700685e-25,0.0,-1.0,0.0,True,True,192,5.0,7.0
48,0faab169-a19f-46bc-aa97-e61f830352e1,2.350988718e-24,110.0,-2.350988718e-24,0.0,1.0,0.0,True,True,192,20.0,12.5
49,8324b32f-ce5e-4224-ae28-08c15b41eaa1,3.2400000002,0.0,0.0,1.0,0.0,0.0,True,True,240,6.5199999996,2.5
50,bb7b3840-ab56-47df-a750-5d6f00f722de,-11.0000001145,15.5,-1.4e-09,0.0,-1.0,0.0,True,False,170,41.0,2.0000000152
50,bb7b3840-ab56-47df-a750-5d6f00f722de,-8.11e-08,31.7749996185,0.0,0.0,-1.0,0.0,True,False,170,20.9500007629,2.7999998007
50,bb7b3840-ab56-47df-a750-5d6f00f722de,-4.77e-08,0.3749999939,1.155e-07,3.5361e-06,0.9999999533,-8.1818e-06,True,False,169,28.7500641492,3.6000000206
50,bb7b3840-ab56-47df-a750-5d6f00f722de,10.9999948299,15.5,-8.8e-09,0.0,-1.0,0.0,True,False,170,41.0,1.999999986
51,81d14199-f997-4c51-8545-95c6c4450905,-9.18e-08,5.0,-1e-10,0.0,-1.0,0.0,True,True,218,10.0,10.0000000421
51,81d14199-f997-4c51-8545-95c6c4450905,1.289e-07,11.0,-1e-10,0.0,-1.0,0.0,True,True,218,2.0,12.4999999444
52,9455b1cf-979e-4ad4-ba0d-94704ba4c788,1.074326615e-24,7.0,-1.074326609e-24,0.0,-1.0,0.0,True,True,228,14.0,5.9749999046
52,9455b1cf-979e-4ad4-ba0d-94704ba4c788,1.218752537e-24,15.3082466125,-1.21875252e-24,0.0,-1.0,0.0,True,True,228,2.6164932251,9.0
53,d203eb91-0d94-4809-89e4-e63bd7cee8c9,-3.2e-08,19.5,0.0,0.0,-1.0,0.0,True,True,0,15.0,3.9687499004
54,33981e26-4ad7-400e-8809-5c51a9cb1be7,-21.5727457528,12.4550265591,5.7000000435,-3.50056e-05,3.59907e-05,0.9999998659,True,True,193,6.6001053109,1.0499977118
54,33981e26-4ad7-400e-8809-5c51a9cb1be7,1.30114e-05,-24.9100711439,5.7000000471,4.60451e-05,-2.2e-08,0.9999998516,True,True,193,6.6000965923,1.0499999666
54,33981e26-4ad7-400e-8809-5c51a9cb1be7,21.572781436,12.4550435223,5.7000000493,-7.25242e-05,4.62229e-05,0.9999997762,True,True,193,6.6001804419,1.0500016205
55,71eafbc5-79a1-4f9f-aaa5-74b10f0d4105,-2.174194292e-24,-2.174194324e-24,37.75,-1.076054573e-19,-6.702677782e-18,1.0,True,True,220,15.5,8.5
56,8be92f9d-ead7-4beb-b706-4a81761de92c,31.5897474289,96.6506271362,8.8015623093,0.0,-1.0,0.0,True,True,208,29.75,0.7500009537
56,8be92f9d-ead7-4beb-b706-4a81761de92c,31.5897820237,136.6506309328,8.8021035425,-6.9215e-05,-0.999996332,-2.90799e-05,True,True,778,49.7507505059,4.9497362976
57,c6f4680d-3fa6-4498-b7dc-a78bdf557c6a,26.0,-1.880791029e-23,49.6499996185,0.0,0.0,1.0,True,True,0,0.7999992371,6.25
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,24.9602219742,26.7836153826,2.0047080603,2.93715e-05,1.78375e-05,0.9999995974,True,True,233,2.0001649253,2.4000017726
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,24.9602253457,18.7836131841,2.0047080517,0.0,0.0,1.0,True,True,230,2.0,2.4000014068
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,24.9602266518,10.7836132063,2.0047080517,0.0,0.0,1.0,True,True,230,2.0,2.4000015234
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,24.9602266533,2.7836132723,2.0047080517,0.0,0.0,1.0,True,True,230,2.0,2.4000015037
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,32.9602251148,18.7836131841,2.0047080517,0.0,0.0,1.0,True,True,230,2.0,2.4000012743
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,32.9602251148,26.7836131779,2.0047080517,0.0,0.0,1.0,True,True,230,2.0,2.4000012743
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,32.9602266082,10.7836132063,2.0047080517,0.0,0.0,1.0,True,True,230,2.0,2.4000015158
58,bd6cfdb2-04f8-427b-ae99-6c7b413fa7b9,32.9602266097,2.7836132723,2.0047080517,0.0,0.0,1.0,True,True,230,2.0,2.4000014961
59,34dc0ea6-1c23-4100-9fa5-6e24b66973eb,-3.5885059834,26.8973864441,10.7776512008,-1.0,0.0,0.0,True,False,0,2.6987500191,2.0961108142
59,34dc0ea6-1c23-4100-9fa5-6e24b66973eb,5.0316191047,26.8973867062,10.777649797,0.999998132,-9.50064e-05,-8.40315e-05,True,False,0,4.1915153333,2.0320000434
60,7a3fddfe-e200-4cc0-aeb2-b59559f56f01,-2.03e-08,-2.07e-08,24.5955410004,0.0,0.0,1.0,True,True,0,4.0,37.9499999748
60,7a3fddfe-e200-4cc0-aeb2-b59559f56f01,-2.03e-08,-2.07e-08,32.8955411911,0.0,0.0,-1.0,True,True,0,5.0000019073,37.9499999748
60,7a3fddfe-e200-4cc0-aeb2-b59559f56f01,-1.75e-08,-1.75e-08,27.4955406189,0.0,0.0,-1.0,True,True,0,0.9000015259,21.7999999218
61,0ae03465-025e-46a2-8d6b-e57515a118b7,1.197695161e-23,8.9499998093,-1.197695173e-23,0.0,1.0,0.0,True,True,212,3.8999996185,19.9500002477
62,29630509-6803-4b8b-ade9-00d3e65e9fb9,0.0,8.0124998093,-9.4000000954,0.0,1.0,0.0,True,True,224,2.0249996185,1.6950001717
63,133c7f6f-5022-4529-9ac3-fa4c8045d58d,3.900158394e-24,2.25,-3.900158379e-24,0.0,1.0,0.0,True,True,236,0.5,8.0500000757
64,a0b5102f-cf87-482b-a138-fa87e6fba2f1,1.440039729e-18,5.0,4.323355402e-17,2.880074756e-19,1.0,8.646711273e-18,True,True,200,6.0,12.5
65,f95ee513-201c-4f3d-b446-e8113485149c,93.5732131202,107.7755192117,1.2304999828,0.0,0.0,-1.0,True,False,40,1.0650000572,1.9025831679
65,f95ee513-201c-4f3d-b446-e8113485149c,93.5732131203,100.3755182006,1.4340000153,0.0,0.0,-1.0,True,False,40,0.6719999313,1.9025836197
65,f95ee513-201c-4f3d-b446-e8113485149c,93.5732131307,92.7654995548,1.2304999828,0.0,0.0,-1.0,True,False,40,1.0650000572,1.9025520547
66,8ce022e3-678e-41cb-90c5-45654f2057b7,-5.431724401e-24,-5.431724401e-24,35.0,0.0,0.0,1.0,True,True,192,70.0,19.000000082
